Heat Map of ALL Available Venues,,,,,,,,,,,
Line Name,Est. Impressions,Number of Screens,Number of Venues,Start Date,End Date,Creative Type,Currency,Min Price Range,Max Price Range,Max Bid,Budget
Sepulveda Basin Recreation Area,489000000,13959,10270,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Dodger Stadium,508000000,10430,7617,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Peacock Theater,511000000,10454,7628,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Crypto.com Arena,511000000,10506,7669,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Venice Beach,518000000,14241,10520,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
USC Sports Center,511000000,10512,7667,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Universal Studios Lot,517000000,14872,10993,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Dignity Health Sports Park,510000000,10533,7654,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Long Beach,518000000,15245,11287,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Honda Center,511000000,16390,12069,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Santa Anita Park,517000000,16804,12371,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Pomona Fairgrounds,510000000,17045,12592,7/10/2028,7/31/2028,"video,image",USD,5.21,89.19,89.18,5000000
Trestles Beach,506000000,11464,8490,7/10/2028,7/31/2028,"video,image",USD,5.21,28.25,28.24,5000000
,,,,,,,,,,,
City,Sport,Venue/Location,Address,,,,,,,,
Los Angeles,3x3 Basketball,Sepulveda Basin Recreation Area,"17017 Burbank Blvd, Encino, CA 91316",,,,,,,,
Los Angeles,Baseball,Dodger Stadium,"1000 Vin Scully Ave, Los Angeles, CA 90012",,,,,,,,
Los Angeles,Boxing (Preliminaries),Peacock Theater,"777 Chick Hearn Ct, Los Angeles, CA 90015",,,,,,,,
Los Angeles,Boxing (Finals),Crypto.com Arena,"1111 S Figueroa St, Los Angeles, CA 90015",,,,,,,,
Los Angeles,Cycling Road (Start),Venice Beach (Cycling),"Venice Beach, Los Angeles, CA",,,,,,,,
Los Angeles,Marathon (Start),Venice Beach (Marathon),"Venice Beach, Los Angeles, CA",,,,,,,,
Los Angeles,Modern Pentathlon,Sepulveda Basin Recreation Area,"17017 Burbank Blvd, Encino, CA 91316",,,,,,,,
Los Angeles,Rhythmic Gymnastics,USC Sports Center,"3401 S Figueroa St, Los Angeles, CA 90089",,,,,,,,
Los Angeles,Squash,Universal Studios Lot,"100 Universal City Plaza, Universal City, CA 91608",,,,,,,,
Los Angeles,Triathlon,Venice Beach (Triathlon),"Venice Beach, Los Angeles, CA",,,,,,,,
Carson,Archery,Dignity Health Sports Park,"18400 Avalon Blvd, Carson, CA 90746",,,,,,,,
Long Beach,Beach Volleyball,Alamitos Beach (Long Beach),"1 Alamitos Beach, Long Beach, CA 90802",,,,,,,,
Long Beach,Coastal Rowing,Waterfront (Long Beach),"Shoreline Dr area, Long Beach, CA",,,,,,,,
Long Beach,Target Shooting,Long Beach Convention Center (Long Beach),"300 E Ocean Blvd, Long Beach, CA 90802",,,,,,,,
Long Beach,Sport Climbing,Convention Center Lot (Long Beach),"300 E Ocean Blvd, Long Beach, CA 90802",,,,,,,,
Anaheim,Volleyball,Honda Center,"2695 E Katella Ave, Anaheim, CA 92806",,,,,,,,
Arcadia,Equestrian,Santa Anita Park,"285 W Huntington Dr, Arcadia, CA 91007",,,,,,,,
Pomona,Cricket (T20),Fairplex (Pomona Fairgrounds),"1101 W McKinley Ave, Pomona, CA 91768",,,,,,,,
San Clemente,Surfing,Trestles Beach,"Near 3500 Cristianitos Rd, San Clemente, CA 92672",,,,,,,,
